#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Physo108569	Physo108358	8189597	8189428	67593.Physo108569	67593.Physo108358	0.308	0	0	0	0.964	0.923	0	0.850	0.999
Physo133404	Physo108612	8196769	8189630	67593.Physo133404	67593.Physo108612	0.150	0	0	0	0.964	0.683	0	0.851	0.998
Physo157949	Physo141213	8207815	8203188	67593.Physo157949	67593.Physo141213	0	0	0	0	0.964	0.782	0	0.668	0.997
Physo157949	Physo108456	8207815	8189509	67593.Physo157949	67593.Physo108456	0	0	0	0	0.964	0.693	0	0.733	0.996
Physo134045	Physo132002	8197334	8195599	67593.Physo134045	67593.Physo132002	0	0	0	0	0.746	0.688	0.800	0.732	0.995
Physo141213	Physo108456	8203188	8189509	67593.Physo141213	67593.Physo108456	0	0	0	0	0.953	0.805	0	0.291	0.992
Physo108701	Physo108569	8189704	8189597	67593.Physo108701	67593.Physo108569	0	0	0.265	0	0.806	0.895	0	0.340	0.988
Physo130224	Physo108701	8194158	8189704	67593.Physo130224	67593.Physo108701	0	0	0	0	0.746	0.699	0.600	0.569	0.985
Physo141213	Physo130074	8203188	8194037	67593.Physo141213	67593.Physo130074	0	0	0	0	0.964	0.116	0	0.257	0.974
Physo141008	Physo108456	8203027	8189509	67593.Physo141008	67593.Physo108456	0	0	0	0	0.964	0.059	0	0.191	0.970
Physo141008	Physo130074	8203027	8194037	67593.Physo141008	67593.Physo130074	0	0	0	0	0.964	0.163	0	0.070	0.969
Physo130074	Physo108456	8194037	8189509	67593.Physo130074	67593.Physo108456	0	0	0	0	0.964	0.161	0	0.072	0.969
Physo141213	Physo141008	8203188	8203027	67593.Physo141213	67593.Physo141008	0	0	0	0	0.964	0	0	0.125	0.967
Physo157949	Physo141008	8207815	8203027	67593.Physo157949	67593.Physo141008	0	0	0	0	0.964	0.060	0	0.125	0.967
Physo157949	Physo130074	8207815	8194037	67593.Physo157949	67593.Physo130074	0	0	0	0	0.964	0.070	0	0	0.965
Physo143715	Physo130074	8205220	8194037	67593.Physo143715	67593.Physo130074	0	0	0	0	0.964	0.063	0	0.062	0.965
Physo143715	Physo141213	8205220	8203188	67593.Physo143715	67593.Physo141213	0	0	0	0	0.948	0	0	0.234	0.958
Physo157949	Physo143715	8207815	8205220	67593.Physo157949	67593.Physo143715	0	0	0	0	0.929	0.124	0	0.234	0.948
Physo140562	Physo121115	8202657	8191106	67593.Physo140562	67593.Physo121115	0.072	0	0.418	0	0	0	0.900	0.142	0.947
Physo108569	Physo108456	8189597	8189509	67593.Physo108569	67593.Physo108456	0	0	0	0	0.131	0.699	0	0.813	0.946
Physo157550	Physo144477	8207670	8205845	67593.Physo157550	67593.Physo144477	0	0	0	0	0.104	0	0.900	0.393	0.940
Physo143715	Physo108456	8205220	8189509	67593.Physo143715	67593.Physo108456	0	0	0	0	0.818	0.147	0	0.644	0.939
Physo156262	Physo108456	8207200	8189509	67593.Physo156262	67593.Physo108456	0	0	0	0	0.811	0.498	0	0.157	0.913
Physo128672	Physo108342	8192993	8189416	67593.Physo128672	67593.Physo108342	0	0	0	0	0.209	0.316	0	0.851	0.912
Physo143715	Physo141008	8205220	8203027	67593.Physo143715	67593.Physo141008	0	0	0	0	0.882	0	0	0.260	0.908
Physo141213	Physo139485	8203188	8201762	67593.Physo141213	67593.Physo139485	0	0	0	0	0.786	0.498	0	0.182	0.904
Physo109278	Physo108497	8190173	8189540	67593.Physo109278	67593.Physo108497	0	0	0	0	0.052	0.689	0	0.587	0.867
Physo156262	Physo130074	8207200	8194037	67593.Physo156262	67593.Physo130074	0	0	0	0	0.819	0.150	0	0.193	0.864
Physo136496	Physo108380	8199306	8189445	67593.Physo136496	67593.Physo108380	0	0	0	0	0.129	0.664	0	0.571	0.863
Physo135412	Physo108456	8198381	8189509	67593.Physo135412	67593.Physo108456	0	0	0	0	0.644	0.115	0	0.588	0.858
Physo141008	Physo108358	8203027	8189428	67593.Physo141008	67593.Physo108358	0	0	0	0	0.478	0.685	0	0.190	0.855
Physo136578	Physo135200	8199366	8198220	67593.Physo136578	67593.Physo135200	0	0	0	0	0	0	0	0.853	0.853
Physo135412	Physo130074	8198381	8194037	67593.Physo135412	67593.Physo130074	0	0	0	0	0.644	0.123	0	0.540	0.843
Physo130224	Physo108569	8194158	8189597	67593.Physo130224	67593.Physo108569	0	0	0	0	0.212	0.721	0	0.343	0.842
Physo156262	Physo141008	8207200	8203027	67593.Physo156262	67593.Physo141008	0	0	0	0	0.802	0.157	0	0.132	0.842
Physo135687	Physo130468	8198628	8194322	67593.Physo135687	67593.Physo130468	0.083	0	0	0	0.196	0.143	0.650	0.392	0.841
Physo141213	Physo135412	8203188	8198381	67593.Physo141213	67593.Physo135412	0	0	0	0	0.744	0.391	0	0.053	0.839
Physo141213	Physo108881	8203188	8189843	67593.Physo141213	67593.Physo108881	0	0	0	0	0.808	0	0	0.093	0.818
Physo133404	Physo108701	8196769	8189704	67593.Physo133404	67593.Physo108701	0.074	0	0.221	0	0.639	0	0	0.386	0.818
Physo141008	Physo139485	8203027	8201762	67593.Physo141008	67593.Physo139485	0	0	0	0	0.815	0	0	0	0.815
Physo108456	Physo108304	8189509	8189388	67593.Physo108456	67593.Physo108304	0	0	0	0	0.644	0	0	0.495	0.812
Physo109580	Physo108456	8190427	8189509	67593.Physo109580	67593.Physo108456	0	0	0	0	0.644	0	0	0.495	0.812
Physo141213	Physo130224	8203188	8194158	67593.Physo141213	67593.Physo130224	0	0	0	0	0.807	0	0	0	0.807
Physo130074	Physo108358	8194037	8189428	67593.Physo130074	67593.Physo108358	0	0	0	0	0.760	0.189	0	0.085	0.806
Physo157394	Physo128245	8207617	8192648	67593.Physo157394	67593.Physo128245	0	0	0	0.696	0	0	0.800	0	0.800
Physo109580	Physo108304	8190427	8189388	67593.Physo109580	67593.Physo108304	0	0	0	0.896	0	0	0.800	0	0.800
Physo157949	Physo108881	8207815	8189843	67593.Physo157949	67593.Physo108881	0	0	0	0	0.793	0	0	0.067	0.798
Physo156262	Physo141213	8207200	8203188	67593.Physo156262	67593.Physo141213	0	0	0	0	0.567	0.498	0	0.125	0.793
Physo140526	Physo135200	8202631	8198220	67593.Physo140526	67593.Physo135200	0	0	0	0	0.101	0.130	0	0.755	0.791
Physo141008	Physo109580	8203027	8190427	67593.Physo141008	67593.Physo109580	0	0	0	0	0.741	0	0	0.218	0.788
Physo141008	Physo108304	8203027	8189388	67593.Physo141008	67593.Physo108304	0	0	0	0	0.741	0	0	0.218	0.788
Physo135274	Physo135012	8198273	8198063	67593.Physo135274	67593.Physo135012	0	0	0	0	0.104	0.679	0	0.291	0.778
Physo157949	Physo156262	8207815	8207200	67593.Physo157949	67593.Physo156262	0	0	0	0	0.749	0	0	0.125	0.770
Physo130074	Physo123541	8194037	8191226	67593.Physo130074	67593.Physo123541	0.081	0	0	0	0.637	0.300	0	0.131	0.769
Physo135200	Physo128498	8198220	8192857	67593.Physo135200	67593.Physo128498	0	0	0	0	0.045	0.099	0	0.748	0.764
Physo139485	Physo108456	8201762	8189509	67593.Physo139485	67593.Physo108456	0	0	0	0	0.760	0	0	0	0.760
Physo141008	Physo123541	8203027	8191226	67593.Physo141008	67593.Physo123541	0.087	0	0	0	0.639	0.163	0	0.191	0.746
Physo129478	Physo108857	8193581	8189826	67593.Physo129478	67593.Physo108857	0	0	0	0	0.309	0	0	0.645	0.744
Physo157949	Physo123541	8207815	8191226	67593.Physo157949	67593.Physo123541	0	0	0	0	0.638	0.060	0	0.305	0.742
Physo158462	Physo136746	8208010	8199514	67593.Physo158462	67593.Physo136746	0	0	0	0	0.110	0.135	0.650	0.125	0.732
Physo140785	Physo136578	8202857	8199366	67593.Physo140785	67593.Physo136578	0	0	0	0	0.293	0	0	0.637	0.732
Physo143715	Physo139485	8205220	8201762	67593.Physo143715	67593.Physo139485	0	0	0	0	0.641	0	0	0.283	0.731
Physo123541	Physo108456	8191226	8189509	67593.Physo123541	67593.Physo108456	0	0	0	0	0.505	0.187	0	0.380	0.728
Physo141213	Physo123541	8203188	8191226	67593.Physo141213	67593.Physo123541	0	0	0	0	0.634	0	0	0.283	0.726
Physo127705	Physo109009	8192207	8189948	67593.Physo127705	67593.Physo109009	0	0	0	0	0.129	0.315	0	0.571	0.721
